"path";"path_label";"menu_path";"module_name";"id";"role";"parentid";"type";"sequence";"module";"label";"newwindow";"dataurl";"showicon";"icon";"sizeicon";"hotkey";"filters";"source"
"220,332";"003-Claim Management > 001-Insurance Companies";"Claim Management > Insurance Companies";"Insurance Companies";"332";"46";"220";"0";"1";"168";"Insurance Companies";"0";"null";"0";"fas fa-clinic-medical";"null";"";"null";"0"
"174,166";"003-Claim Management > 002-Providers";"Claim Management > Providers";"Providers";"166";"0";"174";"0";"2";"135";"Providers";"0";"null";"0";"yfm-OSSSoldServices";"null";"";"";"0"
"220,333";"003-Claim Management > 002-Providers";"Claim Management > Providers";"Providers";"333";"46";"220";"0";"2";"135";"Providers";"0";"null";"0";"yfm-OSSSoldServices";"null";"";"";"0"
"174,171";"003-Claim Management > 003-Portfolios";"Claim Management > Portfolios";"Portfolios";"171";"0";"174";"0";"3";"138";"Portfolios";"0";"null";"0";"yfm-Assets";"null";"";"null";"0"
"220,334";"003-Claim Management > 003-Portfolios";"Claim Management > Portfolios";"Portfolios";"334";"46";"220";"0";"3";"138";"Portfolios";"0";"null";"0";"yfm-Assets";"null";"";"null";"0"
"174,213";"003-Claim Management > 004-Portfolio Purchases";"Claim Management > Portfolio Purchases";"Portfolio Purchases";"213";"0";"174";"0";"4";"154";"Portfolio Purchases";"0";"null";"0";"fas fa-funnel-dollar";"null";"";"null";"0"
"220,335";"003-Claim Management > 004-Portfolio Purchases";"Claim Management > Portfolio Purchases";"Portfolio Purchases";"335";"46";"220";"0";"4";"154";"Portfolio Purchases";"0";"null";"0";"fas fa-funnel-dollar";"null";"";"null";"0"
"174,172";"003-Claim Management > 005-Claims";"Claim Management > Claims";"Claims";"172";"0";"174";"0";"5";"139";"Claims";"0";"null";"0";"mdi mdi-briefcase";"null";"";"";"0"
"220,336";"003-Claim Management > 005-Claims";"Claim Management > Claims";"Claims";"336";"46";"220";"0";"5";"139";"Claims";"0";"null";"0";"mdi mdi-briefcase";"null";"";"";"0"
"174,359";"003-Claim Management > 006-Claimed Invoices";"Claim Management > Claimed Invoices";"Claimed Invoices";"359";"0";"174";"0";"6";"152";"Claimed Invoices";"0";"null";"0";"yfm-FInvoiceProforma";"null";"";"null";"0"
"220,358";"003-Claim Management > 006-Claimed Invoices";"Claim Management > Claimed Invoices";"Claimed Invoices";"358";"46";"220";"0";"6";"152";"Claimed Invoices";"0";"null";"0";"yfm-FInvoiceProforma";"null";"";"null";"0"
"174,211";"003-Claim Management > 007-Similar Claims";"Claim Management > Similar Claims";"Similar Claims";"211";"0";"174";"0";"7";"169";"";"0";"null";"0";"fas fa-briefcase";"null";"";"null";"0"
"220,337";"003-Claim Management > 007-Similar Claims";"Claim Management > Similar Claims";"Similar Claims";"337";"46";"220";"0";"7";"169";"";"0";"null";"0";"fas fa-briefcase";"null";"";"null";"0"
"174,210";"003-Claim Management > 008-Claim Collections";"Claim Management > Claim Collections";"Claim Collections";"210";"0";"174";"0";"8";"172";"";"0";"null";"0";"fas fa-suitcase-rolling";"null";"";"null";"0"
"220,338";"003-Claim Management > 008-Claim Collections";"Claim Management > Claim Collections";"Claim Collections";"338";"46";"220";"0";"8";"172";"";"0";"null";"0";"fas fa-suitcase-rolling";"null";"";"null";"0"
"174,198";"003-Claim Management > 009-Programs";"Claim Management > Programs";"Programs";"198";"0";"174";"0";"9";"144";"";"0";"null";"0";"mdi mdi-application-cog";"null";"";"null";"0"
"220,339";"003-Claim Management > 009-Programs";"Claim Management > Programs";"Programs";"339";"46";"220";"0";"9";"144";"";"0";"null";"0";"mdi mdi-application-cog";"null";"";"null";"0"
"174,184";"003-Claim Management > 010-Payments";"Claim Management > Payments";"Payments";"184";"0";"174";"0";"10";"147";"Payments";"0";"null";"0";"yfm-PaymentsIn";"null";"";"null";"0"
"220,340";"003-Claim Management > 010-Payments";"Claim Management > Payments";"Payments";"340";"46";"220";"0";"10";"147";"Payments";"0";"null";"0";"yfm-PaymentsIn";"null";"";"null";"0"
"174,215";"003-Claim Management > 011-Claims Onboarding";"Claim Management > Claims Onboarding";"Claims";"215";"0";"174";"0";"11";"139";"Claims Onboarding";"0";"null";"0";"yfm-Reports";"null";"";"221,223,224";"0"
"220,341";"003-Claim Management > 011-Claims Onboarding";"Claim Management > Claims Onboarding";"Claims";"341";"46";"220";"0";"11";"139";"Claims Onboarding";"0";"null";"0";"yfm-Reports";"null";"";"221,223,224";"0"
"174,187";"003-Claim Management > 012-Claims Onboarding - Invoices";"Claim Management > Claims Onboarding - Invoices";"Claimed Invoices";"187";"0";"174";"0";"12";"152";"Claims Onboarding - Invoices";"0";"null";"0";"yfm-Reports";"null";"";"159,222,241";"0"
